,source_url,access_datetime,content,word,word_count
0,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.841164,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",Oxirgi,1
1,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.841164,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",yillarda,3
2,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.841164,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",davlat,19
3,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.856789,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",korxonalarini,3
4,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.856789,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",xususiylashtirish,13
5,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.856789,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",zarurligi,1
6,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.856789,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",ko‘p,1
7,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.872416,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",bora,1
8,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.872416,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",ta’kidlandi,1
9,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.872416,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",Chunki,1
10,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.872416,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",ular,1
11,https://kun.uz/uz/news/2022/11/30/parda-ortidagi-xususiylashtirish-yirik-aktivlar-qanday-qilib-ofshor-kompaniyalarga-otib-ketmoqda,2022-12-02 21:22:31.888040,"Oxirgi yillarda davlat korxonalarini xususiylashtirish zarurligi ko‘p bora ta’kidlandi. Chunki ular samarasiz, jamiyat uchun juda qimmatga tushadi va iqtisodiy o‘sishga salbiy ta’sir ko‘rsatadi. O‘zbekistonda 2021–2025 yillar oralig‘ida davlat ishtirokidagi korxonalar sonini 75 foizga qisqartirish maqsad qilingan. Ammo so‘nggi paytlarda bu mavzu markazidagi munozarali jihat sotuvlar shaffofligiga ishonch pastligi bilan bog‘liq holda kechmoqda.",samarasiz,1
